"AVIVA RENTA VARIABLE  ZONA NO EURO, FI.",4400,29/09/2011,191,"AVIVA GESTION, SGIIC, S.A.","BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA"
"AZVALOR CAPITAL, FI",4916,23/10/2015,224,"AZVALOR ASSET MANAGEMENT, SGIIC, S.A.","BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA"
"AZVALOR IBERIA, FI",4917,23/10/2015,224,"AZVALOR ASSET MANAGEMENT, SGIIC, S.A.","BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA"
"AZVALOR INTERNACIONAL, FI",4918,23/10/2015,224,"AZVALOR ASSET MANAGEMENT, SGIIC, S.A.","BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA"
"BANCO MADRID AHORRO, FI",2895,17/02/2004,43,"RENTA 4 GESTORA, S.G.I.I.C., S.A.","CECABANK, S.A."
"BANCO MADRID DOLPHIN ACCIONES, FI",2859,28/10/2003,43,"RENTA 4 GESTORA, S.G.I.I.C., S.A.","CECABANK, S.A."
"BANCO MADRID IBERICO ACCIONES, FI",3868,20/07/2007,43,"RENTA 4 GESTORA, S.G.I.I.C., S.A.","CECABANK, S.A."
"BANCO MADRID RENTA FIJA, FI",2779,06/06/2003,43,"RENTA 4 GESTORA, S.G.I.I.C., S.A.","CECABANK, S.A."
"BANCO MADRID SICAV SELECCION, FI",4621,28/06/2013,43,"RENTA 4 GESTORA, S.G.I.I.C., S.A.","CECABANK, S.A."
"BANKIA BANCA PRIVADA CORTO PLAZO EURO, FI",2446,06/08/2001,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA BANCA PRIVADA INDICE S&P 500, FI",1221,11/11/1997,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA BANCA PRIVADA RENTA VARIABLE ESPAÑA, FI",1235,21/11/1997,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA BANCA PRIVADA SELECCIÓN, FI",1461,05/06/1998,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA BANCA PRIVADA TIPO FIJO GARANTIZADO 2, FI",4454,09/03/2012,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA BOLSA ESPAÑOLA, FI",1528,22/07/1998,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA BOLSA JAPONESA, FI",1980,05/01/2000,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA BOLSA MUNDIAL, FI",2305,26/01/2001,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA BOLSA USA, FI",1139,13/08/1997,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA BONOS CORTO PLAZO (I), FI",3623,08/11/2006,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA BONOS CORTO PLAZO (II), FI",3628,08/11/2006,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA BONOS CORTO PLAZO (III), FI",2674,17/01/2003,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA BONOS CORTO PLAZO PRINCIPAL, FI",2673,17/01/2003,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA BONOS DURACION FLEXIBLE, FI",775,09/12/1996,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA BONOS INTERNACIONAL, FI",1713,22/01/1999,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA DIVIDENDO ESPAÑA , FI",1131,13/08/1997,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA DIVIDENDO EUROPA, FI",151,27/01/1989,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA DOLAR, FI",2539,11/01/2002,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA DURACION FLEXIBLE 0-2, FI",672,17/07/1996,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA EMERGENTES, FI",1055,20/06/1997,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA EURO TOP IDEAS, FI",1138,13/08/1997,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA EVOLUCION DECIDIDO, FI",3448,21/04/2006,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA EVOLUCION MODERADO, FI",3443,21/04/2006,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA EVOLUCION PRUDENTE, FI",2704,28/02/2003,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA FONDEPOSITOS, FI",4581,22/03/2013,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA FONDTESORO CORTO PLAZO, FI",3631,08/11/2006,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA FONDTESORO LARGO PLAZO, FI",173,25/01/1990,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA FONDUXO, FI",378,13/01/1993,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA FUSION, FI",4358,29/04/2011,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA GARANTIZADO EURO STOXX 2016, FI",4480,18/05/2012,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA GARANTIZADO RENTAS 2, FI",4444,17/02/2012,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA GARANTIZADO RENTAS 3, FI",4479,18/05/2012,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA GESTION DE AUTOR, FI",4772,13/06/2014,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA GOBIERNOS EURO LARGO PLAZO, FI",795,27/12/1996,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA INDICE EUROSTOXX, FI",1137,13/08/1997,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA INDICE IBEX, FI",3141,23/02/2005,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA MIXTO RENTA FIJA 15, FI",643,18/04/1996,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA MIXTO RENTA FIJA 30, FI",1124,04/08/1997,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA MIXTO RENTA VARIABLE 50, FI",575,19/06/1995,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA MIXTO RENTA VARIABLE 75, FI",1712,22/01/1999,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
"BANKIA MONETARIO EURO DEUDA (I), FI",2968,24/06/2004,85,"BANKIA FONDOS, S.G.I.I.C., S.A.","BANKIA, S.A"
